CUI,freq
C1313407,1
C3541335,1
C3711667,1
C3827754,1
C3890185,1
C4319633,1
C0392360,11
C3146298,5
C0368663,10
C0302891,10
C0442824,7
C2984081,7
C0200665,1
C1300812,5
C1708024,5
C0344388,1
C0439224,2
C0993596,6
C0015458,1
C1839839,6
C4049613,6
C0205430,11
C0008677,6
C3160715,9
C0856738,1
C0282379,8
C1235746,8
C1882141,8
C4554792,8
C0683314,1
C0041700,1
C0002045,2
C1553907,2
C1158406,1
C1414174,5
C1999216,34
C3538889,4
C0536221,59
C3813197,59
C4281799,60
C2757061,1
C3536830,1
C0042963,2
C1963281,2
C3898969,2
C4084766,2
C4084767,2
C4084768,2
C4084769,2
C0222762,1
C0016658,28
C0041703,21
